filename	SampleType	SampleType1	ATTRIBUTE_ Percent of OMSW  in MS	Species	ATTRIBUTE_ Taxonomy	NCBITaxonomy	Sample Collection	Sample Extract	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase
E12_pos.mzXML	SAMPLE	Mushroom Fruit Body	80	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002648	electrospray ionization (Positive)	reverse phase (C18)
E33_pos.mzXML	BLANK_SMS	spent mushroom substrate	0	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002649	electrospray ionization (Positive)	reverse phase (C18)
E34_pos.mzXML	BLANK_SMS	spent mushroom substrate	0	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002651	electrospray ionization (Positive)	reverse phase (C18)
E35_pos.mzXML	BLANK_SMS	spent mushroom substrate	0	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002652	electrospray ionization (Positive)	reverse phase (C18)
E36_pos.mzXML	BLANK_SMS	spent mushroom substrate	33	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002653	electrospray ionization (Positive)	reverse phase (C18)
E37_pos.mzXML	BLANK_SMS	spent mushroom substrate	33	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002654	electrospray ionization (Positive)	reverse phase (C18)
E38_pos.mzXML	BLANK_SMS	spent mushroom substrate	33	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002655	electrospray ionization (Positive)	reverse phase (C18)
E39_pos.mzXML	BLANK_SMS	spent mushroom substrate	60	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002656	electrospray ionization (Positive)	reverse phase (C18)
E40_pos.mzXML	BLANK_SMS	spent mushroom substrate	60	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002657	electrospray ionization (Positive)	reverse phase (C18)
E41_pos.mzXML	BLANK_SMS	spent mushroom substrate	60	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002658	electrospray ionization (Positive)	reverse phase (C18)
E42_pos.mzXML	BLANK_SMS	spent mushroom substrate	80	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002659	electrospray ionization (Positive)	reverse phase (C18)
E43_pos.mzXML	BLANK_SMS	spent mushroom substrate	80	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002660	electrospray ionization (Positive)	reverse phase (C18)
E44_pos.mzXML	BLANK_SMS	spent mushroom substrate	80	Fungi	SMS_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002660	electrospray ionization (Positive)	reverse phase (C18)
